FID,LAYER,X,Y,Z
"540",cam,34847.608,167254.616,557.189
"541",cam,34849.058,167249.529,557.082
"542",cam,34850.808,167246.439,556.982
"543",cam,34852.449,167244.251,556.803
"544",cam,34854.391,167244.032,556.772
"545",cam,34857.536,167244.825,556.977
"546",cam,34862.075,167246.439,557.385
"547",cam,34868.229,167249.064,558.131
"548",cam,34874.847,167251.990,559.139
"549",cam,34881.137,167254.233,560.007
"550",cam,34883.981,167255.874,560.361
"551",pc,34874.984,167244.005,558.503
"552",cam,34885.977,167253.795,560.537
"553",cam,34881.711,167252.811,559.987
"554",cam,34873.808,167249.748,558.799
"555",cam,34865.439,167246.302,557.652
"556",cam,34860.380,167244.114,557.114
"557",cam,34854.281,167241.954,556.658
"558",cam,34851.984,167241.051,556.579
"559",cam,34853.078,167237.004,556.259
"560",cam,34854.008,167233.202,556.040
"561",cam,34855.813,167227.459,555.603
"562",cam,34857.590,167221.798,555.328
"563",cam,34858.465,167218.243,555.228
"564",cam,34859.833,167214.387,555.041
"565",cam,34861.200,167209.929,554.795
"566",cam,34863.115,167205.089,554.773
"567",cam,34864.905,167200.601,554.785
"568",cam,34866.817,167195.492,554.616
"569",cam,34868.798,167190.765,554.581
"570",cam,34870.675,167185.169,554.631
"571",cam,34872.552,167180.511,554.938
"572",cam,34874.151,167175.923,555.138
"573",cam,34875.958,167172.031,555.352
"574",cam,34877.036,167168.416,555.409
"575",cam,34878.287,167165.114,555.532
"576",cam,34880.407,167161.708,555.666
"577",cam,34882.284,167158.475,555.791
"578",cam,34884.126,167156.112,555.893
"579",cam,34888.166,167151.756,556.255
"580",cam,34891.468,167147.654,556.416
"581",cam,34894.387,167144.248,556.557
"582",cam,34897.569,167141.027,556.734
"583",cam,34901.206,167136.706,556.887
"584",cam,34904.980,167132.467,557.190
"585",cam,34908.043,167129.131,557.378
"586",cam,34910.805,167125.138,557.583
"587",cam,34914.497,167121.009,557.774
"588",cam,34915.865,167118.766,557.807
"589",cam,34919.584,167114.828,558.023
"590",cam,34922.674,167111.081,558.184
"591",cam,34925.436,167107.389,558.221
"592",cam,34928.910,167103.232,558.571
"593",cam,34933.313,167098.337,559.045
"594",cam,34937.114,167093.278,559.487
"595",cam,34939.958,167089.750,559.851
"596",cam,34942.255,167086.441,560.099
"597",cam,34945.483,167082.475,560.475
"598",cam,34949.311,167078.400,560.710
"599",cam,34952.292,167075.091,560.826
"600",cam,34956.039,167071.810,561.121
"601",cam,34960.743,167068.747,561.515
"602",cam,34964.544,167066.094,561.829
"603",cam,34968.122,167063.693,562.060
"604",cam,34969.887,167063.392,562.243
"605",cam,34972.749,167064.640,562.600
"606",cam,34976.729,167066.770,563.254
"607",cam,34986.434,167071.762,564.685
"608",cam,34992.975,167075.205,565.451
"609",cam,35000.507,167078.691,566.252
"610",cam,35005.477,167080.972,566.682
"611",cam,35010.964,167083.855,567.306
"612",cam,35018.194,167087.147,567.960
"613",cam,35024.327,167090.009,568.581
"614",cam,35029.728,167092.871,568.810
"615",cam,35035.301,167095.582,568.967
"616",cam,35041.449,167098.544,569.260
"617",cam,35048.170,167101.862,569.663
"618",cam,35053.726,167104.572,570.238
"619",cam,35056.605,167106.463,570.523
"620",pc,35051.966,167096.846,569.359
"621",cam,35058.789,167104.448,570.409
"622",cam,35054.963,167102.772,570.128
"623",cam,35050.459,167100.774,569.666
"624",cam,35045.803,167098.404,569.297
"625",cam,35041.537,167096.440,569.083
"626",cam,35036.203,167093.629,568.876
"627",cam,35031.429,167091.225,568.674
"628",cam,35026.739,167088.939,568.525
"629",cam,35022.049,167086.620,568.029
"630",cam,35017.817,167084.521,567.626
"631",cam,35014.126,167082.777,567.274
"632",cam,35007.794,167079.848,566.658
"633",cam,35003.476,167077.884,566.277
"634",cam,34998.668,167075.598,565.843
"635",cam,34995.807,167074.040,565.512
"636",cam,34991.574,167072.093,565.098
"637",cam,34988.899,167070.722,564.842
"638",cam,34985.598,167069.181,564.323
"639",cam,34981.873,167067.251,563.772
"640",cam,34978.063,167065.270,563.193
"641",cam,34977.019,167063.577,563.009
"642",cam,34976.180,167061.403,562.715
"643",cam,34976.202,167059.316,562.616
"644",cam,34976.761,167058.542,562.673
"645",cam,34979.817,167057.014,562.893
"646",cam,34983.625,167054.797,563.030
"647",cam,34988.015,167052.022,563.052
"648",cam,34990.619,167050.494,563.058
"649",cam,34995.611,167047.998,563.008
"650",cam,35000.280,167045.609,563.007
"651",cam,35005.423,167043.457,563.010
"652",cam,35010.415,167041.155,563.032
"653",cam,35015.472,167038.487,563.074
"654",cam,35018.893,167036.593,562.964
"655",cam,35025.974,167032.797,562.975
"656",cam,35034.588,167028.148,562.836
"657",cam,35042.027,167023.909,562.679
"658",cam,35048.481,167020.654,562.598
"659",cam,35058.928,167015.212,562.043
"660",cam,35066.028,167012.526,561.690
"661",cam,35069.600,167010.664,561.442
"662",cam,35073.477,167009.106,561.238
"663",cam,35077.439,167007.210,560.866
"664",cam,35082.603,167004.670,560.498
"665",cam,35087.276,167003.028,560.299
"666",cam,35089.917,167002.300,560.219
"667",cam,35093.134,167001.454,560.106
"668",cam,35096.452,167001.819,559.803
"669",cam,35097.910,167004.735,559.516
"670",cam,35099.854,167010.522,559.579
"671",cam,35100.958,167018.341,560.126
"672",cam,35103.167,167027.618,560.838
"673",cam,35105.155,167037.380,561.848
"674",cam,35106.922,167045.420,562.815
"675",cam,35108.865,167053.548,563.685
"676",cam,35110.669,167062.906,565.011
"677",cam,35112.994,167070.564,565.425
"678",cam,35114.498,167075.295,565.616
"679",pc,35125.876,167066.015,562.461
"680",cam,35118.047,167075.129,565.135
"681",cam,35116.309,167070.715,564.738
"682",cam,35114.085,167064.458,564.433
"683",cam,35111.895,167057.333,563.759
"684",cam,35110.435,167051.285,563.133
"685",cam,35108.975,167045.307,562.494
"686",cam,35107.794,167039.502,561.798
"687",cam,35106.438,167033.559,561.178
"688",cam,35104.770,167027.441,560.732
"689",cam,35103.240,167019.030,560.048
"690",cam,35102.198,167013.538,559.789
"691",cam,35101.120,167008.116,559.551
"692",cam,35100.355,167003.806,559.511
"693",cam,35099.591,167000.574,559.611
"694",cam,35099.382,166999.253,559.574
